		SIKKIM MANIPAL UNIVERSITY 

		GRADE SHEET - MAY/JUNE 2026 EXAMINATIONS.  

Subject Code  : GN201B1		refcode(CSE406)
Subject Title : UNIVERSAL HUMAN VALUE II (GN201B1)
Subject Credit : 3.0 

REGNO		INT	   UM		TOT	GRADE
202400552	33.90	   27	     61.00	C
202400558	30.87	   36	     67.00	B
202400562	32.50	 26.5	     59.00	C
202400565	29.20	   21	     51.00	D
202400568	29.63	 31.5	     62.00	C
202400569	35.73	 34.5	     71.00	B
202400576	28.30	 25.5	     54.00	D
202400703	40.70	   37	     78.00	A
202400706	32.63	   43	     76.00	A
202400710	24.23	 27.5	     52.00	D
202400715	34.93	   29	     64.00	C
202400716	38.53	   38	     77.00	A
202400720	27.93	   30	     58.00	C
202400722	34.90	   30	     65.00	B
202400725	24.77	   27	     52.00	D
202400726	31.03	   34	     66.00	B
202400729	26.20	 27.5	     54.00	D
202400731	28.42	   28	     57.00	C
202400733	36.47	   42	     79.00	A
202400737	39.23	 36.5	     76.00	A
202400739	31.07	   27	     59.00	C
202400741	28.47	   21	     50.00	D
202400744	32.33	 38.5	     71.00	B
202400745	32.70	 22.5	     56.00	C
202400749	27.63	   27	     55.00	C
202400751	40.40	   MP	      0.00	MP
202400752	35.47	   AB	      0.00	I
202400753	31.40	 15.5	     47.00	F
202400755	28.50	 28.5	     57.00	C
202400756	29.33	 31.5	     61.00	C
202400760	29.87	 25.5	     56.00	C
202400762	32.10	 30.5	     63.00	C
202400764	37.17	   31	     69.00	B
202400768	36.10	   32	     69.00	B
202400769	31.77	   30	     62.00	C
202511501	32.00	   28	     60.00	C
202511504	26.00	   27	     53.00	D
202511505	26.20	 27.5	     54.00	D
202511542	29.53	   41	     71.00	B
202511545	27.00	 43.5	     71.00	B
202300534	 0.00	   DT	      0.00	DT
202300586	35.40	 35.5	     71.00	B
202300639	 0.00	   DT	      0.00	DT
202400001	27.90	   30	     58.00	C
202400005	23.60	   25	     49.00	D
202400018	34.00	   38	     72.00	B
202400020	38.10	 33.5	     72.00	B
202400033	37.60	 28.5	     67.00	B
202400044	28.80	 29.5	     59.00	C
202400045	33.60	 35.5	     70.00	B
202400056	34.90	 35.5	     71.00	B
202400074	35.70	 32.5	     69.00	B
202400076	20.70	   AB	      0.00	I
202400077	27.10	 23.5	     51.00	D
202400096	30.90	   28	     59.00	C
202400120	29.70	 31.5	     62.00	C
202400127	39.30	   38	     78.00	A
202400132	34.30	 34.5	     69.00	B
202400136	 0.00	   DT	      0.00	DT
202400138	34.00	 30.5	     65.00	B
202400181	35.30	   45	     81.00	A
202400186	30.10	   30	     61.00	C
202400193	34.00	   31	     65.00	B
202400201	36.10	   27	     64.00	C
202400219	16.30	   19	     36.00	E
202400223	37.30	   36	     74.00	B
202400234	31.50	   25	     57.00	C
202400251	34.90	 39.5	     75.00	A
202400258	32.70	 26.5	     60.00	C
202400269	29.80	 28.5	     59.00	C
202400271	32.00	   30	     62.00	C
202400291	32.50	   38	     71.00	B
202400297	29.80	 30.5	     61.00	C
202400302	39.50	 38.5	     78.00	A
202400309	27.80	 21.5	     50.00	D
202400318	31.80	   30	     62.00	C
202400338	 0.00	   DT	      0.00	DT
202400344	19.00	   19	     38.00	E
202400350	40.60	 37.5	     79.00	A
202400355	32.10	   30	     63.00	C
202400372	33.40	 33.5	     67.00	B
202400390	23.70	   27	     51.00	D
202400400	27.90	 24.5	     53.00	D
202400405	27.80	 26.5	     55.00	C
202400407	36.90	 36.5	     74.00	B
202400408	27.80	 24.5	     53.00	D
202400410	40.00	 41.5	     82.00	A
202400417	38.30	 35.5	     74.00	B
202400419	24.50	 21.5	     46.00	D
202400421	35.90	 38.5	     75.00	A
202400427	24.30	 20.5	     45.00	D
202400441	26.40	   27	     54.00	D
202400451	28.80	 31.5	     61.00	C
202400456	30.80	 34.5	     66.00	B
202400488	31.20	   30	     62.00	C
202400493	28.20	   21	     50.00	D
202400508	23.00	 12.5	     36.00	F
202400512	20.70	 34.5	     56.00	C
202400533	27.30	   30	     58.00	C
202400548	23.10	   30	     54.00	D
202400701	24.20	 32.5	     57.00	C
202400709	29.00	 31.5	     61.00	C
202400717	25.40	   23	     49.00	D
202400718	31.30	   33	     65.00	B
202400719	34.50	   34	     69.00	B
202400730	34.60	 23.5	     59.00	C
202400734	28.10	   28	     57.00	C
202400736	23.70	   24	     48.00	D
202400738	22.40	   24	     47.00	D
202400740	29.70	 23.5	     54.00	D
202400763	37.50	 28.5	     66.00	B
202543501	33.20	 35.5	     69.00	B
202543503	 0.00	   DT	      0.00	DT
202543508	28.10	 28.5	     57.00	C
202543509	27.80	   22	     50.00	D
202300439	 0.00	   AB	      0.00	I
202400009	32.97	 30.5	     64.00	C
202400065	35.57	   29	     65.00	B
202400101	23.47	 23.5	     47.00	D
202400118	34.63	 31.5	     67.00	B
202400141	25.67	 20.5	     47.00	D
202400177	31.03	   35	     67.00	B
202400235	34.80	 33.5	     69.00	B
202400252	30.83	   29	     60.00	C
202400272	26.30	   30	     57.00	C
202400274	29.60	 27.5	     58.00	C
202400279	29.20	   30	     60.00	C
202400304	30.80	   31	     62.00	C
202400320	20.37	 22.5	     43.00	E
202400325	31.57	   31	     63.00	C
202400327	34.30	 35.5	     70.00	B
202400343	27.67	   28	     56.00	C
202400380	32.23	 32.5	     65.00	B
202400445	33.80	   32	     66.00	B
202400564	29.27	 25.5	     55.00	C
202400705	24.47	   21	     46.00	D
202542501	17.17	   19	     37.00	E
202542502	18.70	 14.5	     34.00	F
202542503	21.73	 19.5	     42.00	E
202542504	22.50	 15.5	     38.00	F
202542505	27.30	   23	     51.00	D
202300174	34.87	 30.5	     66.00	B
202400031	32.10	   37	     70.00	B
202400295	29.50	 29.5	     59.00	C
202400366	37.70	 38.5	     77.00	A
202400473	31.40	   35	     67.00	B
202400700	33.45	 32.5	     66.00	B
202512501	30.40	 30.5	     61.00	C
202512512	24.70	 20.5	     46.00	D
202412508	 0.00	   DT	      0.00	DT
202400022	21.20	   12	     34.00	F
202400086	36.80	   31	     68.00	B
202400119	35.30	 33.5	     69.00	B
202400129	35.10	 42.5	     78.00	A
202400192	31.50	 31.5	     63.00	C
202400200	30.70	 23.5	     55.00	C
202400280	34.60	   38	     73.00	B
202400317	29.60	   25	     55.00	C
202513502	27.30	   24	     52.00	D
202513503	28.40	   28	     57.00	C
202513504	34.60	   34	     69.00	B
202513513	24.30	 23.5	     48.00	D
202513514	31.90	 23.5	     56.00	C
202513515	25.10	   28	     54.00	D
202513516	33.30	 27.5	     61.00	C
202513517	36.30	 32.5	     69.00	B
202513518	19.80	   20	     40.00	E
202400221	35.70	   36	     72.00	B
202400530	32.50	   20	     53.00	D
202400566	30.10	   27	     58.00	C
202400574	33.50	 33.5	     67.00	B
202400091	31.95	 25.5	     58.00	C
202400134	35.05	   38	     74.00	B
202400238	28.85	   22	     51.00	D
202400477	36.00	 32.5	     69.00	B
202400491	33.10	 25.5	     59.00	C
202400495	40.85	 34.5	     76.00	A
202400525	33.35	 24.5	     58.00	C
202515501	35.60	   31	     67.00	B
202515502	29.20	 24.5	     54.00	D
202515531	29.50	  3.5	     33.00	F
202515532	40.40	 33.5	     74.00	B
202515533	32.45	 16.5	     49.00	F
202515534	34.00	 27.5	     62.00	C
202515535	27.45	 24.5	     52.00	D
202515536	32.30	   33	     66.00	B
202515537	31.00	 34.5	     66.00	B
202200191	 0.00	   DT	      0.00	DT
202200229	22.85	   17	     40.00	F
202300433	28.85	   24	     53.00	D
202400025	29.40	   33	     63.00	C
